UserName,ScreenName,Location,TweetAt,OriginalTweet,Sentiment
21,45008,?? ???? ?????? . ??? ???? ???,09-03-2020,"@realDonaldTrump Separate Table of US Corna Virus Statistics.
 Very high stats of corona virus.
 US Government's Inability to Control Corona Virus.
 High Price Disinfectant Gel in USA High price of mask in USA. 
Food prices are rising day by day",Negative
22,45009,"Texas, USA",10-03-2020,"#ToiletPaper shortage ??
Don't believe everything you see on TV! My Costco just now....,.#CoronaVirus https://t.co/FDviKzgFwd",Negative
23,45010,"Western Australia, Australia",10-03-2020,"Come on guys, please be like bob!

#COVID2019 #panicbuying #coronavirus https://t.co/kMly3zNynR",Positive
24,45011,London,10-03-2020,"If you have booked a ticket to an event as part of a package holiday you will be offered an alternative or a refund by your travel provider, if it has been cancelled due to #Coronavirus.

Check ABTA's consumer Q&amp;A at: https://t.co/oUB4MNmrNA

#COVID19 https://t.co/kMHJehS2JH",Positive
25,45017,,10-03-2020,Consumers have increased their online shopping due to coronavirus. https://t.co/5mYfz3RAD0 #retail #ecommerce #study #coronavirus https://t.co/Dz3H6zrWUT,Positive
26,45018,"Lambeth, London",10-03-2020,"For those self indulging in thoughts of food, medicine and essential household goods stock piling. Like people on universal credit be stock piling FFS!!! #coronavirus",Negative
27,45019,"Wales, United Kingdom",10-03-2020,"Ok if #COVID2019 is nothing to panic about why is Italy imposing the biggest restrictions on the civilian population since WW2? 
How will the supermarkets be able to provide food if all the workers are told to stay at home? 
Same with any other Bussiness.",Positive
28,45021,Edmonton Alberta,10-03-2020,"The top food items to stock up on in case you are quarantined 

#Coronavirus home stays are on peoples minds. Here are ten foods for stocking a pantry to support physical and mental health.

https://t.co/jrvxRIb57L",Positive
29,45022,"Manchester, UK",10-03-2020,"Hi all! Please support your local Chinese Restaurant &amp; order some delicious food from them ? They are really struggling with the #COVID2019 panic, many are having to let staff go.

My favs in #Manchester are @sweetmandarin &amp; @blueeyedpandam4
Thank you! ??

#iwilleatwithyou https://t.co/jpDHxQMBTv",Positive
30,45023,Missouri,10-03-2020,Report any and all instances of price gouging or other COVID-19 scams to the Attorney Generals Consumer Protection Hotline at 800-392-8222 or online at https://t.co/YB2NrTWlfg. #coronavirus https://t.co/H3QqmM3BBl,Negative
31,45025,España / USA,10-03-2020,"?80% of #Retail experts talk about a significant decrease in #store traffic due to #coronavirus ??
??Check our article???

https://t.co/eobzo0WOUS",Positive
32,45026,,10-03-2020,Met with members of our distributive trade today to examine their preparation   for the impact of Covid 19. Based on reports our key manufacturers and importers have at least 2 to 3 mths of stock. We therefore do not expect that there will be any shortage in critical food items. https://t.co/jtFneBWuVy,Negative
33,45029,Australia,10-03-2020,"We could have as many as 60% of the world's population infected with the #Coronavirus by the end of the year.

Your prayers are useless, only science will come to the rescue. If this does happen, our world will not recover for years. Stock up your can food people. #doomsdayBunker",Negative
34,45030,"Manchester, NH",10-03-2020,"IMPORTANT UPDATE! Our CEO Brian Beaulieu has broadened the scope of his COVID-19 webinar. Expect more on the oil prices drop, stock market developments, retail sales, and unfolding situations in China and Italy. Learn more and register: https://t.co/3muKagEw4p https://t.co/uOuyUfjRyW",Positive
35,45031,"Columbus, OH",10-03-2020,".@Target taking #coronavirus #COVID19 seriously. Stores are adding hours and staff to clean more rigorously, stopping food samples, bolstering order pick up and drive up, encouraging employees to stay home, adding more stock, and limiting # of items in purchases.

@wsyx6 https://t.co/p1EJDPvnyy",Positive
36,45032,US,10-03-2020,"CDC: Older folks should stock up on food, stay home amid #coronavirus - Business Insider  Wow! https://t.co/ygcPtE7F1L",Positive
37,45034,Dublin,10-03-2020,"Every shop, chemist or retailer of any sort who raises prices during #coronavirus should be boycotted when it's all over. The greed in this country starts with those who've governed us for almost 100 years. FF and FG have made many of us lose our compassion and decency.",Negative
38,45036,,10-03-2020,"@thehill DonaldTrump with lies or with rumor
Never recognized his sense of humor
..so he sells us his balm
..just tells us to stay calm
And blames it all on the consumer. 

#COVID19 #Trumpdemic #coronavirus",Negative
39,45037,,10-03-2020,"@realDonaldTrump .-.
THE BALM OF CORONAVIRUS

#DonaldTrump with lies or with rumor
Never recognized his sense of humor
..so he sells us his balm
..tells us just to stay calm
And blames it all on the consumer. #COVID19 #Trumpdemic #coronaviru",Negative
40,45038,Worldwide,10-03-2020,Q1 #earnings are expected to be heavily impacted by #coronavirus with steep declines in commodity prices and analysts cutting estimates. @TDhillon33 and @DaveAurelio analyse the data: https://t.co/1uhWfTLx6u #TrustedData #Refinitiv  #COVID19 https://t.co/afvLnL1zIA,Negative
41,45039,"Galway, Ireland",10-03-2020,"These are some of the suggestions to slow/stop #COVID2019
1. Work remotely from home 
2. Online school/ lectures
 3.Keep updated on the HSE/Dept of Health website 
4. Order shopping online for delivery ALL  NEED BROADBAND #remoteworking #broadband #rural",Negative
42,45041,Massachusetts,10-03-2020,"Stay vigilant, stay safe. As we adapt to COVID-19, know that our office is here for you. We can answer questions about scams, sick time, and fraud.

Consumer Hotline: 617-727-8400
Health Care Hotline: 1-888-830-6277
Fair Labor Hotline: 617-727-3465 https://t.co/GjNWCmtY1U",Negative
43,45042,"New Jersey, USA ??",10-03-2020,"Even without the #coronavirus, suspension or elimination of the #payrolltax is the quickest and most sensible means of enhancing consumer liquidity for working Americans, especially part-time and low wage workers.

Once again, @realDonaldTrump is doing exactly the right thing.",Negative
44,45043,East of England,10-03-2020,"This is the advice from national US health experts for over 60's on avoiding #coronavirus

""CDC: Americans over 60 should stock up on food and medications and avoid venturing out as the coronavirus spreads""

UK gov: wash your hands &amp; carry on

#Covid_19 

https://t.co/QKolJTOPdr",Negative
45,45044,Ipswich,10-03-2020,"The awful impacts of the #Coronavirus are continuing to be felt around the world. 
These events in China are also affecting the UK container industry. But what does this mean for you as a consumer, looking to buy #ShippingContainers?
Find out more: https://t.co/ir3YeBoFbS
#MrBox https://t.co/wLHwiAVhIB",Negative
46,45045,England,10-03-2020,Wash your hands more often for 20 seconds with soap and water. Or use hand sanitiser.,Positive
47,45046,North Carolina,10-03-2020,"Coronavirus, COVID-19, oil price drop will lead to US recession - Business Insider https://t.co/A7hsqwQDOe",Negative
48,45047,,10-03-2020,"My German colleagues have confirmed that Hamsterkäufe, as in how a hamster stuffs its cheeks with food, is indeed the German term for panic buying. This is the cute news I need today.
#hamsterkäufe #COVID2019 #covid19ireland #Coronavirusireland #panicbuyingireland #panicbuying https://t.co/b5PwFU9tvz",Negative
49,45053,"Hyderabad, India",10-03-2020,"@NileshShah68 I have summarized the most important points from the paper in this thread:
https://t.co/dTZg4vg8VM",Positive
50,45055,"Washington, DC",10-03-2020,Missouri AG sues televangelist for advertising Silver Solution as a cure for coronavirus https://t.co/wUffral0NW https://t.co/Q5kAOjafCt,Positive
51,45056,"Washington, DC",10-03-2020,"President Trump: ""It will go away.  Just stay calm.  It will go away."" https://t.co/J8aF2Zb8v0",Positive
52,45059,,10-03-2020,"Solid advice for seniors, their family members &amp; those of who have #complexhealth care needs.@CDC: Older #Americans should consider stocking up on food, medications &amp; avoid venturing out as #coronavirus spreads https://t.co/yiDKEL9m1a #COVID19Canada #CoronavirusCanada #bcseniors",Positive
53,45060,"Hackney, London",10-03-2020,"Local media in Naples reported that Seria A football players Callejon, Llorente and Ospinta were among the people queuing outside a supermarket last night to stock up on food during the #coronavirus emergency.",Negative
54,45061,,10-03-2020,"Reminder: a State of Emergency is in effect statewide due to #Coronavirus.

Californians are protected from illegal price gouging on housing, gas, food, and other essential supplies. https://t.co/nw5FHsodTj https://t.co/r8wH8MSped",Negative
55,45062,,10-03-2020,"Just thinking if we have to close schools, how many children may lose access to main source of meals.  And what will happen to demand at food banks. #trusselltrust #coronavirus #foodbanks #poverty #uk https://t.co/Mw71RzC6z1",Negative
56,45063,United States,11-03-2020,"@realDonaldTrump What can you do about #COVID2019? 

- dont go out sick
- wash hands
- call ahead, wear mask to doctor
- stock up food, medicines
- work from home
- keep social distances
- hand sanitizer after surfaces
- avoid touching",Negative
57,45064, England.,11-03-2020,"As I appear to be absolutely no good at stock piling/panic buying  food goods and toilet rolls for the #coronavirus I'm moving on to something I'm good at buying ?

Tin whistles and Apple Watch bands.

Better than toilet rolls ? https://t.co/UdI4PYuLDh",Positive
58,45066,"Highland, MI",11-03-2020,"I dont understand the run on toilet paper. 

You would think that youd stock up on food first. Without food, you wont need the toilet paper. #coronavirus",Negative
59,45067,Sydney,11-03-2020,So the govt is trying to boost spending to save the economy but what about the several retail staff I witnessed yesterday - in the one store - continuously coughing over merchandise?? And elsewhere?? #bigW #eastgardens   #Coronavirus #stimulus #auspol,Positive
60,45068,,11-03-2020,"We've been lied to about COVID-19. Find out why you need to stock up on Food &amp; Water before all cities are quarantined.
https://t.co/RTBHfraXTU
coronavirus chiropractor naturopath stocks gold silver blackpink bts  coach trainer librarian twice yibo xiaozhan animalcrossing trucker https://t.co/AKuNBNa8jS",Negative
61,45069,Home of the Growling Tigers,11-03-2020,"Metro Manila Lock Down will cause shortage of food supply, hoarding of stuffs, less fortunate families will not be able to stock up, and a lot more. Oh Lord, we pray for covid-19 to end before everything boils down to worst.",Negative
62,45071,"Toronto, Ontario",11-03-2020,"Low gas prices could hurt economy as #Toronto drivers take advantage:

https://t.co/JqOHbi6b9j @torontodotcom #COVID19 #COVID2019 #CoronaVirusCanada",Negative
63,45073,Boca Raton Fl,11-03-2020,How the fuck am I safer from #coronavirus on a train or at a gas station or at a grocery store or gym than at #sxsw or a ballgame or a amusement park? Either put guys with gas masks and guns on the streets or let us live our lives,Positive
64,45076,Ph Guillermo Munt,11-03-2020,#Venezuela will be Latin America's most affected country by the twin crises of #Coronavirus and collapsing oil prices. See what's coming: https://t.co/6d7Ll9rCUT https://t.co/Guzi0dWxGA,Negative
65,45079,"arkansassy, usa",11-03-2020,"ok so I know people are scared &amp; stock piling water, meds, food &amp; toilet paper but what about cat food? 

like guys my cat is SO picky he only eats the @rachaelray brand should I start buying out all the 

cAt fOoD!? ?????? #coronavirus",Positive
66,45080,Sector8023 of the 3rd Quadrant,11-03-2020,"And what food products should I stock up on? Canned meats? Have many veggies &amp; fruit already. More noodles &amp; rice? Wish I felt safe about fresh stuff but I don't. Maybe more dried fruit.

What else?

#Coronavirus Stockpile thoughts...",Positive
67,45081,"Montreal, QC, Canada",11-03-2020,"#COVID_19 fallout : Are all these ghost flights going to swap cabin payload for cargo payload, as self isolated individuals take to online shopping globally as a pastime while waiting for lockdowns to end ?",Negative
68,45083,Interior Alaska,11-03-2020,"While #Trump and his admin are worried about the stock market, oil companies, cruise, and hotel industry, the people of this nation just want to know they can be tested if they become ill and if they can go to work to earn next month's rent or food for the family. #coronavirus",Negative
69,45084,Istanbul,11-03-2020,Shares in Turkish supermarket chain Migros surged as much as 15% today on expectations of stocking up after the nation's first coronavirus case was confirmed. https://t.co/8301RkLPj2,Positive
70,45086,"Either in UK, AFrica, EU or Ukraine",11-03-2020,"Former Supermarket boss says that staff self-isolating due to possible #CoVID_19 symptoms will affect the abiity of stores to re-stock shelves more than panic-buying.
He's right, but its not ""either-or"" - its *both*.
Plus, its also *shortage of delivery drivers &amp; packers* too... https://t.co/RAhzrycemP",Negative
71,45090,,11-03-2020,"@sainsburys Can you please make sure that in the midst of all the panic buying , hoarding and general insanity I have seen in your stores recently that you will save some stock for local food banks who have seen donations fall. We are all in this together",Negative
72,45097,WORLDWIDE,11-03-2020,"#CancelEverything is #tending due to #COVID19 #coronavirus, so it looks like shopping online and reading books is in ?? https://t.co/jYrZ5zIhSg",Positive
73,45098,,11-03-2020,"Interesting to see so many businesses telling employees to work from home out of caution... what about those of us who cant? 

What would happen if one of my grocery store coworkers contracted #coronavirus ? Or if an affected customer comes into the store?",Positive
74,45099,Boston,11-03-2020,"The chemical explanation for why soap &amp; water is such a kick-ass weapon against the #coronavirus. 

Soap is almost like a demolition team breaking down a building and taking all the bricks away, says chemistry prof Palli Thordarson.

https://t.co/743VHQ7MWO @B_resnick #COVID19",Negative
75,45100,Zebes (SR388),11-03-2020,"Any supermarket, petrol station or any place that sells hand sanitizer/toilet paper for more than the expected price are greedy assholes! Dont do this, don't be that guy! #Covid_19",Negative
76,45101,United Kingdom,11-03-2020,"lets hope those that have stock bought toilet roll get the shits &amp; get forced to stay indoors with their toilet roll &amp; hardly any food, #coronavirus #cornoravirusuk #Corona #toiletpapercrisis #ToiletPaperPanic #ToiletPaperPanic #Banter",Negative
77,45102,"San Francisco, CA",11-03-2020,Very smart to stock up on a years supply but you do have to live off canned and perishable food during the plague. #coronavirus #foodsecurity https://t.co/KDVWfGSpK4,Positive
78,45103,Gaia,11-03-2020,"Does everyone really need to stock up on toilet paper and paper towel? Two weeks of food I can understand, but you don't need a year worth of toilet paper and paper towel. It's not like the world is ending. #coronavirus https://t.co/EeelptfqDh",Negative
79,45108,"Livingston, Scotland",11-03-2020,"News of panic buying food from supermarkets is in the headlines this week, as the fear of #coronavirus grows. As we stock up our freezers, we look at gas monitoring in Frozen and Dried Food Storage.

Discover how we play a role in keeping your food fresh: https://t.co/n4Nrnv2Ap3 https://t.co/WPlI5p6bf7",Negative
80,45109,"Boston, MA",11-03-2020,"Having the extra income to stock up on non-perishables and meds, etc, is a PRIVILEGE. If you can afford it, please also donate supplies to food banks, and FIGHT FOR A SYSTEM THAT DOESN'T LEAVE PEOPLE STRUGGLING AND HUNGRY IN A PANDEMIC. #coronavirus #COVID19",Negative
81,45110,??,11-03-2020,"Going out on a food raid. Chos. When ur household panic, must check supplies. #BiglangDamingKailangan #COVID2019",Negative
82,45111,On your mobile,11-03-2020,"#4. CPG and Retail
Major retailers in China like Starbucks, Uniqlo, Nike and #Apple had temporarily shuttered their store
Sellers on Amazon's marketplace are reportedly struggling to bring goods into the country
#Coronavirus infects luxury spending at #LouisVuitton, Ralph Lauren",Positive
83,45113,Inside My Head,11-03-2020,"Well, its time to stock up on cat food. #coronavirus #quarantine #pandemic https://t.co/uhfmQPZWAt",Positive
84,45114,,11-03-2020,"@forexlifecom 

Oil Prices Head Higher on U.S. Cut Hopes - 11 March 2020

https://t.co/f1nNNx2T3h

#Forex #forexsignals #forextrading #forextrader #????? #Corona #Covid_19 #coronavirus https://t.co/hsFqDSyHXZ",Positive
85,45118,"Toronto, Ontario",11-03-2020,"@CBCTerry Canadas response has been exemplary when it comes to containing the spread of the disease, says Dr. Bruce Aylward, leader of WHO's mission to China on COVID-19. You're right. It's our turn. Social distancing/clean hands our jobs. Stock the",Positive
86,45119,HousePriceMania,11-03-2020,Are the unelected @bankofengland using #coronavirus to keep theur asset prices up and steal from us?,Negative
87,45121,Neverland ,11-03-2020,So we have a new housemmate moving into our place tomorrow and I get this text from one of my current housemates... and I just............. like you work in a retail store tho??? You can easily bring home COVID-19 too?????? https://t.co/nhMXePXFzH,Positive
88,45123,United States,11-03-2020,I demand all food servers to wear gloves when preparing food. #COVID19 #coronavirus #CoronavirusUSA #WednesdayThoughts,Negative
89,45126,"Cranleigh, Surrey GU6 8ND",11-03-2020,"Home shopping could double if #Coronavirus takes hold in the UK, as consumers switch from buying food and household items in stores to online.  https://t.co/t5teSX87vU  

Is your #business ready to meet this demand? 

Via @PostalTechNews https://t.co/o45h0Jdi8E",Positive
90,45130,United States,11-03-2020,Guys please stock up while you can. I can confirm that grocery stores are starting to run out of non perishable food and cleaning supplies. Practice safe measures and also make sure to be polite to retail workers because this is a stressful time for them. #coronavirus,Positive
91,45131,"Taipei City, Taiwan",11-03-2020,"2/ A Market Crash was Coming
even before #coronavirus :
- When prices
for these securities
fall 10% or 20% ,
the lender has the right
to demand additional cash ;
The only way to get that cash
is to sell them ;
And in that way,
selling begets more selling. 
https://t.co/ya2lDfiNh6 https://t.co/W2SNOhUdXI",Negative
92,45136,"San Francisco, CA",11-03-2020,"""Losing free food is a blow,"" one employee said. ""I don't personally stock a fridge so it drastically alters my life in that sense and budget.""  @robaeprice on the steep price of #coronavirus for some tech workers. https://t.co/Q7ej1fIxxy via @businessinsider",Positive
93,45140,Gotham ,11-03-2020,"Everyone loves the food at the Cheescake Factory so why does the stock continue to destroy value for shareholders? The management need replaced and a new leader needs to streamline the business. My view, in @Forbes $CAKE #dining #restaurants #coronavirus https://t.co/zEFIwAimnc",Positive
94,45141,"Austin, TX",11-03-2020,"Anxiety over the #coronavirus is driving grocery shoppers online, where theyre able to purchase the #CPG items they need without risking exposure to crowds of people. Is this the catalyst that online grocery needed to change deep rooted consumer shopping habits?",Positive
95,45142,,11-03-2020,People. If you are coughing or feeling sick stay at home. Do not go to the grocery store. Do not go to work. Please. This would be over if you just did that. #COVID19 #coronavirus #Pandumbic,Negative
96,45145,Greece,11-03-2020,CORONAVIRUS EFFECT ON BOND PRICES : Pandemias tend to increase safe havens demand such as German bonds-The opposite effect on Greek bonds prices #Corona #Coronovirusupdate #CoronaVirusUpdate #coronavirus #economy #economics #crash #market #Covid_19 #COVID19 #bonds #Greece #Greek https://t.co/5YN2jbAETE,Positive
97,45147,USA,11-03-2020,"Today at the grocery store, after the checker had touched all of our stuff, we noticed she is in the habit of licking her fingers to count cash. 

I'm immunocompromised.

Please don't do this. Just... ugh.

#Covid_19 #COVID19 #coronavirus",Negative
98,45148,deep south,11-03-2020,"?People at #highrisk 
CDC finally says you should be prepared to shelter-in-place. 

This means ?

stock up on meds, ask doc for 3-6mo supply
food, water, supplies to last 
keep your distance
if it's in your community, stay home

#coronavirus
 https://t.co/UJWUFAal3b",Positive
99,45150,London,11-03-2020,Popped into my local supermarket after work. The baskets are noticeably clean... Theres no hand wash or bog roll ????? not that I needed any... did no one wash before #Covid_19 ?,Positive
100,45152,,11-03-2020,"Hi @AEWrestling. I'm Luca, I'm from Italy and I'm a big fan of your product. The district I live in is the most covered by #coronavirus here in Italy. Our government has forbidden us to leave our houses except for going to the grocery store or the pharmacy. (1/2)",Negative
101,45153,,11-03-2020,environment in a small apartment? How do you stock up on anything when you can barely afford rent or food on a regular basis? How do you constantly wash your hands when the water itself is poison?  Asking for a friend. #COVID19 #coronavirus,Negative
102,45154,United Kingdom,11-03-2020,"1. preprint from @NEJM https://t.co/tFf5B7xttw 
?? COVID-19 virus remains viable in the air up to 3 hours post aerosolization
?? stable on plastic and stainless steel and viable virus could be detected up to 72 hrs 
will washing hands even make a difference given above? #COVID19 https://t.co/HYztphlIMV",Positive
103,45155,All over the NBA map,11-03-2020,"The Warriors, league sources say, will be directed to play host to the Nets on Thursday night at Chase Center in a game CLOSED to fans",Positive
104,45157,"New York, NY",11-03-2020,"Getting back to the impact of #coronavirus on the consumer, the question this article asks is if #creditcard travel #insurance covers #covid_19. The only way to know for sure is to check your card's policy.

https://t.co/6g2IRU09VX",Positive
105,45158,North Belfast,11-03-2020,"Our shelves our bare as we are struggling to meet demand, and with #panickbuying we are finding it difficult to stock up on are main items, these are worrying times for all us but even more so when you are struggling financially.  If you can donate, we would be really grateful. https://t.co/20Av9PPhwQ",Negative
106,45159,,11-03-2020,"Neither Mutton Nor Chicken, 'Kathal' Prices Skyrocket Due To Coronavirus Scare
https://t.co/wJkNvZQf8d
#coronavirusinindia #coronavirus #kathal #mutton #jackfruit",Negative
107,45162,"Princeton, NJ",11-03-2020,"The key metrics we considered for online shopping behavior were latency in number of days between first website landing and first purchase and number of website landings prior to first purchase.
#NetElixir #coronavirus #covid19 #webinar #onlineshopping",Positive
108,45164,"Middleton, WI",11-03-2020,"Most of the focus of the demand side economic impact of COVID-19 had been on travel/tourism, but food services would be by far the largest sector affected. https://t.co/75rBt4cfVW",Negative
109,45165,,11-03-2020,Im gonna apologize to my bank now for all the online shopping Ill be doing once im quarantined ??? #sorrynotsorry #Corona #coronavirus #COVID19 https://t.co/UM0UPy0C7J,Positive
110,45166,,11-03-2020,"#btc is proven not to be a safe heaven for multinationals with the #coronavirus spread people are dumping there crypto to get more stock like food and #groceries 

This is not a small #pandemic

#crypto #bitcoin #Corona",Positive
111,45167,"Madison, VA",11-03-2020,Coronavirus is hurting store traffic and e-commerce won't help much #Retail #coronavirus  https://t.co/ad2ZaodeVo,Positive
112,45168,#citizenofnowhere,11-03-2020,@SebDance Forget Corona. I expect that we were already in recession anyway thanks to Brexit.,Negative
113,45172,Philippines,11-03-2020,"After local authorities floated the idea of ""localized"" lockdowns to control COVID-19 spread, Agriculture Secretary William Dar said his order for a ""food sufficiency action plan"" is meant as a contingency measure if the situation worsens. https://t.co/sD3QB0xi1i",Negative
114,45174,,11-03-2020,"While youre panick-buying necessities because of COVID-19 please remember food shelves, group homes, shelters, etc. A lot of these places depend on donations and/or dont have the time or $$ flexibility to be able to stock up in these situations. Donate if/what/how you can!",Positive
115,45175,,11-03-2020,@NorthmanTrader #FederalReserve couldn't even see the housing bubble pop while it was imploding. Stable prices &amp; maximum employment....my ass. #EndTheFed #COVID2019 #COVID19 #BoomerPlague #CoronavirusUSA https://t.co/YOI3FKt9uo,Negative
116,45176,"England, United Kingdom",11-03-2020,"How Retailers can handle difficult trading due to Coronavirus. Conversion will probably be the biggest challenge in store for Retailers.
https://t.co/No5Oq1ei2g

#coronavirus #retailers #retail #conversionrate",Negative
117,45177,Made in Canada,11-03-2020,"Stock make sure to have a few bottles of #Quash 100% natural hand sanitizer spray 4 your desk home purse or travel -flight (spray TV screen, food tray etc.) Lab proven to kill toughest germs viruses Available @nutritionhouse &amp; Health Food stores #Covid_19 #CoronavirusOutbreak https://t.co/vxDEFqsED3",Positive
118,45178,"Michigan, USA",11-03-2020,"So were #washinghands more frequent, but are we #wiping down #keyboards? ?

For those needing to create their own #psa:
https://t.co/BZSx1Awn7I 
#hand #hands #keyboard #corona #coronavirus #COVID19 #photooftheday #stockphotography #stockphoto #photosforsale #SanFrancisco https://t.co/p1uPPtnxFz",Positive
119,45180,,11-03-2020,Reporting on COVID-19 Has to stop Many times your told wash your hands 20 sec. Use Hand sanitizer 60% alcohol cough into a tissue Stock up on food and Rx drugs Now cancelling events? We've had mass shootings &amp; are told to live of lives This virus is paralyzing us? Puzzling to me!,Positive
120,45181,United States,11-03-2020,"@SenatorLoeffler @realDonaldTrump @VP @stevenmnuchin1 What the fuck does being a consumer, a strong economy, or jobs have to do with a pandemic? Absolutely nothing..btw did you go to Trump University? #Pandumbic #Trumpdemic #coronavirus #WhereAreTheTests",Negative
121,45184,"Minneapolis,  MN",11-03-2020,AT TARGET &amp; WALMART IT'S CLEAN AND REPEAT Target has begun cleaning and sanitizing checkout lanes and touchscreens at least every 30 minutes. https://t.co/pbKYZYjk7q #retailtrends #retail #touchscreens #clean #sanitizing #coronavirus #viruscontainment,Positive
122,45187,Ballarat Victoria,11-03-2020,"My local IGA supermarket has a 2 can limit on dog food now, is this gonna be another toilet roll hoarding saga ??
#coronavirusaustralia #Covid_19 #COVID?19 #dogs #aupol #MSM  # ridiculous",Negative
